Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000084171,00001-00003-00009-84171,00001-00002-00010-9396,1173654582-084171,1414690041-084171,1655725500-0084171,1052714285-084171,1995020637-00084171,2005938379-084171,1535861274-0000084171
Component 00000000109824,00004-00001-109824,00001-109915,1246209767-109824,679865190-109824,113520613-0109824,622043370-109824,1306282608-00109824,1978957482-109824,830552000-0000109824
Component 00000000014094,00004-00003-00002-14094,00003-00004-23950,475031216-014094,1697875821-014094,773236779-0014094,727194266-014094,1055422182-00014094,1189513787-014094,659284011-0000014094
Component 00000000115914,00004-00001-00006-115914,00006-00004-33375,1836318008-115914,1062236305-115914,288154602-0115914,1874319235-115914,1449760456-00115914,1187618263-115914,754058761-0000115914
Component 00000000101315,00004-00006-101315,00003-00005-00007-118788,1902239074-101315,485324771-101315,1215894115-0101315,827630259-101315,1469750833-00101315,462345587-101315,1021180523-0000101315
Component 00000000114886,00001-00002-00005-114886,00002-00001-00005-4607,1021327328-114886,686081024-114886,350834720-0114886,1941750760-114886,1470498633-00114886,2109373912-114886,126366529-0000114886
Component 00000000005615,00001-00012-5615,00004-00011-33590,629554839-005615,498750153-005615,367945467-0005615,727978509-005615,1382001939-00005615,793380852-005615,866395517-0000005615
Component 00000000071479,00004-00002-00005-71479,00001-00002-00008-24656,1255060634-071479,1741987231-071479,81430181-0071479,174938648-071479,2035272957-00071479,1005217173-071479,1463592080-0000071479
Component 00000000058322,00002-00005-00004-58322,00002-00001-00009-26867,1977499793-058322,971188033-058322,2112359920-0058322,416019667-058322,1152611173-00058322,919175547-058322,897442632-0000058322
Component 00000000037475,00004-00009-37475,00004-00005-00005-60884,1287404270-037475,199969507-037475,1260018391-0037475,1160167616-037475,154890490-00037475,630143174-037475,1310286687-0000037475
Component 00000000017123,00003-00001-00002-17123,00003-00003-00003-108748,884535922-017123,722105601-017123,559675280-0017123,522858118-017123,1335009723-00017123,1677815102-017123,904931947-0000017123
Component 00000000097894,00004-00006-00004-97894,00004-00004-00002-22999,687540243-097894,1263142214-097894,1838744185-0097894,1760690249-097894,1030164041-00097894,399147440-097894,575756452-0000097894
Component 00000000001557,00002-00003-00010-1557,00002-00004-43537,614656762-001557,1370748082-001557,2126839402-0001557,777863783-001557,1292374477-00001557,399818123-001557,489368485-0000001557
Component 00000000018595,00003-00005-18595,00001-00002-26405,1210732808-018595,1914423496-018595,470630537-0018595,979992824-018595,1756506678-00018595,628147480-018595,617017218-0000018595
Component 00000000009193,00003-00002-00002-9193,00005-00007-10225,90360112-009193,1900944501-009193,1564045243-0009193,930615275-009193,467627918-00009193,1099064904-009193,499154421-0000009193
Component 00000000113607,00002-00004-113607,00003-00010-92323,398776309-113607,940413082-113607,1482049855-0113607,1972097859-113607,1411397641-00113607,627537649-113607,850216649-0000113607
Component 00000000017033,00003-00002-00003-17033,00005-00007-106230,863206879-017033,1627953615-017033,245216704-0017033,1446201576-017033,1917435190-00017033,1063828208-017033,834444066-0000017033
Component 00000000036500,00002-00009-36500,00004-00011-33590,554406543-036500,340214270-036500,126021997-0036500,1977241361-036500,900719079-00036500,1010595674-036500,853580157-0000036500
Component 00000000034102,00002-00005-00003-34102,00004-00002-00012-89959,1713690842-034102,1641997829-034102,1570304816-0034102,1457805182-034102,1816270247-00034102,419909865-034102,1816700131-0000034102
Component 00000000111554,00004-00002-00001-111554,00003-00004-34818,1576195651-111554,188599915-111554,948487826-0111554,849795512-111554,1345323251-00111554,1543593380-111554,1009482827-0000111554
Component 00000000046867,00002-00002-00002-46867,00001-00001-00004-76756,739730036-046867,73561818-046867,1554877247-0046867,642826168-046867,1826183611-00046867,975910277-046867,1852573898-0000046867
Component 00000000077383,00003-00005-00007-77383,00004-00005-00001-66379,813042421-077383,7746807-077383,1349934840-0077383,410910788-077383,142421564-00077383,813558595-077383,1995481232-0000077383
Component 00000000107526,00001-00006-00003-107526,1436259974,64331639-107526,1622305136-107526,1032794986-0107526,1537860422-107526,190443878-00107526,1832615497-107526,1557585623-0000107526
Component 00000000055091,00001-00001-00010-55091,00002-00006-59962,1548514108-055091,663095166-055091,1925159871-0055091,1555368361-055091,1687495777-00055091,1998077832-055091,841514901-0000055091
Component 00000000004419,00004-00002-00012-4419,00001-00002-156,1740248518-004419,2032647551-004419,177562937-0004419,1962957913-004419,500962748-00004419,743016573-004419,401440798-0000004419
Component 00000000094676,00001-00001-00010-94676,00003-00001-00004-56463,2129622178-094676,223847509-094676,465556487-0094676,967605729-094676,1906544486-00094676,846751240-094676,1184042539-0000094676
Component 00000000064957,00002-00004-00009-64957,00004-00005-00001-89129,1435608270-064957,1852833693-064957,122575469-0064957,1269946639-064957,1331303171-00064957,2135075751-064957,665657637-0000064957
Component 00000000027682,00002-00004-00005-27682,00004-00006-33774,1551684617-027682,65847839-027682,727494708-0027682,355561235-027682,1342294184-00027682,1098479624-027682,2087401121-0000027682
Component 00000000081482,00002-00002-00011-81482,00004-00005-57629,1150992912-081482,1472149770-081482,1793306628-0081482,1694714996-081482,88930706-00081482,1534136567-081482,1501155023-0000081482
Component 00000000080915,00002-00003-80915,00002-00002-00001-41757,566150722-080915,1684522709-080915,655411049-0080915,46359093-080915,896950099-00080915,560914923-080915,2103041011-0000080915
Component 00000000076441,00001-00001-00001-76441,00003-00005-00011-40038,1748270201-076441,1193042162-076441,637814123-0076441,1663255897-076441,144428798-00076441,867128093-076441,355603229-0000076441
Component 00000000072767,00002-00002-00006-72767,00004-00002-00002-60699,1441680740-072767,1962412014-072767,335659641-0072767,927343765-072767,471171042-00072767,666978128-072767,223306155-0000072767
Component 00000000042842,00002-00002-00007-42842,00004-00003-87594,1572191771-042842,1927810799-042842,135946180-0042842,1639845453-042842,2009233960-00042842,1462035939-042842,1992893044-0000042842
Component 00000000043550,00003-43550,00004-00002-00001-107459,1651038262-043550,1847481458-043550,2043924654-0043550,441115033-043550,1606382700-00043550,342893435-043550,28130386-0000043550
Component 00000000034154,00004-00001-00003-34154,00002-00005-00003-91432,1442930093-034154,1827400400-034154,64387060-0034154,1836128983-034154,2061261095-00034154,570152006-034154,399338788-0000034154
Component 00000000039693,00003-00003-00004-39693,00003-00001-00009-122963,1351048747-039693,18302710-039693,833040320-0039693,63633539-039693,284912783-00039693,1803748381-039693,12170594-0000039693
Component 00000000055135,00003-00002-55135,00003-00012-61190,753493369-055135,1718746161-055135,536515306-0055135,323613547-055135,1939800528-00055135,1988470798-055135,908123708-0000055135
Component 00000000101740,00002-00002-101740,00001-00002-7126,1455192947-101740,422251532-101740,1536793764-0101740,1823400024-101740,545656158-00101740,1266128908-101740,1999671310-0000101740
Component 00000000072597,00002-00005-72597,00003-00001-55940,429653403-072597,1899036776-072597,1220936502-0072597,1901528466-072597,997062542-00072597,93094956-072597,675017075-0000072597
Component 00000000070449,00004-00001-00002-70449,00004-119340,1325607448-070449,1919129705-070449,365168315-0070449,1120407678-070449,300280040-00070449,1897388373-070449,657777443-0000070449
Component 00000000010061,00001-00002-00012-10061,00001-00003-34541,43003486-010061,1020873762-010061,1998744038-0010061,225071638-010061,1778171199-00010061,1883620147-010061,1019529690-0000010061
Component 00000000032045,00006-32045,00002-00001-00005-32362,1496660634-032045,1214313454-032045,931966274-0032045,687724286-032045,2099460186-00032045,828897876-032045,1275149828-0000032045
Component 00000000059438,00003-00001-00002-59438,00006-00010-58120,1504473681-059438,208068054-059438,1059146074-0059438,1979568358-059438,2019145552-00059438,1554029348-059438,311462328-0000059438
Component 00000000067298,00003-00010-67298,1436259974,1057127630-067298,939748035-067298,822368440-0067298,732926390-067298,1319824365-00067298,1865358011-067298,273483826-0000067298
Component 00000000027576,00001-00003-00003-27576,00001-00001-00008-30766,774166206-027576,405341668-027576,36517130-0027576,66045289-027576,1910167979-00027576,250457558-027576,2052262052-0000027576
Component 00000000054201,00001-00004-54201,00002-00004-00010-35032,1830492093-054201,197239798-054201,711471150-0054201,1000908901-054201,577235788-00054201,743793225-054201,1824054958-0000054201
Component 00000000038685,00003-00010-38685,00004-00006-00009-94779,1794996891-038685,1745283887-038685,1695570883-0038685,1531399844-038685,1779964864-00038685,1556256346-038685,129485985-0000038685
Component 00000000019536,00001-00006-00010-19536,00003-00003-00007-52748,1263924930-019536,364916985-019536,1613392687-0019536,1685454361-019536,1885526792-00019536,1061216510-019536,894577579-0000019536
Component 00000000021594,00004-00006-00001-21594,00001-00006-110376,562886574-021594,1836729783-021594,963089345-0021594,1140998271-021594,1214233167-00021594,1577818490-021594,904681920-0000021594
Component 00000000096163,00003-00004-00002-96163,00004-00001-00005-98064,1019080274-096163,1323597381-096163,1628114488-0096163,1829516258-096163,306930723-00096163,603515881-096163,1005358688-0000096163
Component 00000000063576,00001-00002-00006-63576,00003-00005-50445,1831797792-063576,258324002-063576,832333859-0063576,680246622-063576,2105164631-00063576,1466983517-063576,47556557-0000063576
Component 00000000027461,00001-00005-27461,00003-27573,518293054-027461,1957760525-027461,1249744349-0027461,539246870-027461,1931844103-00027461,893254958-027461,1709095334-0000027461
Component 00000000095614,00004-00001-00012-95614,00003-00001-00007-82713,1791231340-095614,648426954-095614,1653106215-0095614,52309794-095614,1471364430-00095614,623711987-095614,51312826-0000095614
Component 00000000009500,00001-00010-9500,00003-00012-18823,2078477312-009500,401744835-009500,872496005-0009500,1287588940-009500,1081316737-00009500,1052213355-009500,135466085-0000009500
Component 00000000105574,00004-00001-105574,00004-00004-00011-114489,913989873-105574,421168346-105574,2075830466-0105574,1708207754-105574,2024831742-00105574,880876694-105574,1101654626-0000105574
Component 00000000098885,00003-00007-98885,00002-00002-50752,409590672-098885,1996372582-098885,1435670845-0098885,59102015-098885,715127053-00098885,1413194707-098885,1941941990-0000098885
Component 00000000012059,00004-00005-00008-12059,00002-00004-00010-90542,1663607238-012059,1027399944-012059,391192650-0012059,872324537-012059,1905877360-00012059,1190428184-012059,629342782-0000012059
Component 00000000091823,00003-00004-00004-91823,00001-00005-00004-100091,1320723979-091823,444299808-091823,1715359284-0091823,690082802-091823,777236363-00091823,54553064-091823,2113863781-0000091823
Component 00000000059538,00003-00003-00011-59538,00004-00009-60914,222563193-059538,310957024-059538,399350855-0059538,1288438526-059538,846469371-00059538,170499787-059538,202429946-0000059538
Component 00000000091454,00004-00006-00012-91454,00003-00005-00008-89773,301439486-091454,881150397-091454,1460861308-0091454,1573873082-091454,822802174-00091454,210275803-091454,300892071-0000091454
Component 00000000083188,00003-00001-83188,00001-00006-105371,1688809087-083188,1325336790-083188,961864493-0083188,166530035-083188,1983891520-00083188,1422008007-083188,1688717965-0000083188
Component 00000000044047,00002-00003-00003-44047,00001-00005-00007-121336,127774364-044047,1534431820-044047,793605629-0044047,1778667923-044047,1187831584-00044047,1075339195-044047,1157213176-0000044047
Component 00000000067226,00001-00005-00003-67226,00001-00005-00008-29076,1849556770-067226,456644543-067226,1211215963-0067226,1939048641-067226,313675188-00067226,1561762931-067226,2041943661-0000067226
Component 00000000012928,00003-00006-00006-12928,00002-00006-00011-114827,1943086086-012928,1440036335-012928,936986584-0012928,93751456-012928,461516564-00012928,1419018155-012928,135148403-0000012928
Component 00000000084630,84630,00001-00006-00001-22231,1415317471-084630,1704605437-084630,1993893403-0084630,413398293-084630,1114442110-00084630,268754310-084630,987793803-0000084630
Component 00000000123392,00002-00003-00009-123392,00002-00007-119217,1920585696-123392,2059362142-123392,50654941-0123392,61308739-123392,1514910156-00123392,2139404163-123392,65799689-0000123392
Component 00000000010494,00004-00001-00003-10494,00003-00004-46700,190403660-010494,1577396308-010494,816905309-0010494,887554031-010494,395041732-00010494,194057707-010494,1058408795-0000010494
Component 00000000041996,00001-00003-00006-41996,00003-00006-00002-63923,2080710579-041996,1724867224-041996,1369023869-0041996,928435214-041996,560168342-00041996,32615068-041996,2074552455-0000041996
Component 00000000019775,00002-19775,00001-00004-00005-59441,933607797-019775,1070338630-019775,1207069463-0019775,48860433-019775,1512689915-00019775,1054236840-019775,1615327267-0000019775
Component 00000000088970,00011-88970,00004-00004-00006-20234,976758305-088970,1337482331-088970,1698206357-0088970,1292004390-088970,1635867907-00088970,1111642377-088970,1510258787-0000088970
Component 00000000002556,00001-00001-00008-2556,00005-00001-71475,425498869-002556,401426424-002556,377353979-0002556,331727110-002556,452089335-00002556,1417505156-002556,423002798-0000002556
Component 00000000118191,00001-00003-00008-118191,00004-00012-97174,689305773-118191,1505388858-118191,173988296-0118191,540887926-118191,755439795-00118191,1206588207-118191,825033799-0000118191
Component 00000000065515,00002-00008-65515,00001-00006-00011-104726,1211804097-065515,234700877-065515,1405081304-0065515,1066938161-065515,1657486967-00065515,1555489771-065515,1991235599-0000065515
Component 00000000059023,00003-00006-00003-59023,00001-00001-00002-46516,690157116-059023,1231285484-059023,1772413852-0059023,1165079200-059023,606921007-00059023,894515016-059023,1264503569-0000059023
Component 00000000045304,00004-00012-45304,00002-00002-33007,290613535-045304,991258813-045304,1691904091-0045304,2059654813-045304,703912070-00045304,1709332174-045304,1081076891-0000045304
Component 00000000117564,00004-00006-00005-117564,00002-00003-79550,2047171325-117564,1607126526-117564,1167081727-0117564,1106093220-117564,1158833568-00117564,252373796-117564,1258262894-0000117564
Component 00000000029698,00003-00004-00006-29698,00003-00011-90205,958105520-029698,1995710080-029698,885830993-0029698,1889802799-029698,996747293-00029698,1371000519-029698,424740401-0000029698
Component 00000000101431,00001-00001-00005-101431,00001-00003-00010-122041,637505454-101431,1705082450-101431,625175799-0101431,875382232-101431,1979948193-00101431,341593734-101431,711537672-0000101431
Component 00000000055969,00004-00004-00004-55969,00002-00003-84555,1848918699-055969,1869580921-055969,1890243143-0055969,703552819-055969,600241709-00055969,693221708-055969,165753808-0000055969
Component 00000000045791,00001-00004-00005-45791,00004-00005-00008-46639,368801990-045791,420758067-045791,472714144-0045791,1814929901-045791,1555149516-00045791,715210039-045791,1528768191-0000045791
Component 00000000112409,00004-00003-00011-112409,00005-58765,1447741839-112409,892433340-112409,337124841-0112409,1358825225-112409,1987884073-00112409,562737651-112409,229798807-0000112409
Component 00000000072744,00004-00009-72744,00004-00001-00007-60054,1789010330-072744,1714510059-072744,1640009788-0072744,1396972657-072744,1769474012-00072744,360480969-072744,989484402-0000072744
Component 00000000067033,00003-00001-00005-67033,00003-00001-00004-23703,2062672401-067033,1390402422-067033,718132443-0067033,596091301-067033,1809957549-00067033,2005968114-067033,215387690-0000067033
Component 00000000017924,00004-00004-00010-17924,00006-00010-7615,2121900425-017924,1334184382-017924,546468339-0017924,1498636162-017924,1142249083-00017924,818752360-017924,485009493-0000017924
Component 00000000048923,00003-00004-48923,00003-00005-00001-10778,2056908524-048923,1213088038-048923,369267552-0048923,1933804246-048923,1857939382-00048923,208230842-048923,1942406326-0000048923
Component 00000000030278,00003-00003-00001-30278,00003-00001-106445,1901117512-030278,287262680-030278,820891495-0030278,938569452-030278,417909024-00030278,1745496868-030278,2084185894-0000030278
Component 00000000007551,00001-00005-00011-7551,00002-00008-87810,1953601438-007551,1545244109-007551,1136886780-0007551,401881981-007551,296184979-00007551,1679802469-007551,928713351-0000007551
Component 00000000120126,00001-00006-00006-120126,00002-00004-00006-27787,1109821656-120126,316668582-120126,1670999155-0120126,1296603213-120126,967401289-00120126,1693179750-120126,2104803701-0000120126
Component 00000000070389,00004-00004-00007-70389,00001-00002-00001-117651,2083140139-070389,1791542501-070389,1499944863-0070389,825556578-070389,136061121-00070389,971355397-070389,2048923786-0000070389
Component 00000000023624,00004-00006-00003-23624,00004-00005-43659,1804233266-023624,1123370558-023624,442507850-0023624,994646633-023624,103992879-00023624,1335077987-023624,224466391-0000023624
Component 00000000110034,00004-00001-00002-110034,00003-00004-115808,803641646-110034,1741697332-110034,532269371-0110034,1202185830-110034,806874694-00110034,733157987-110034,550332674-0000110034
Component 00000000080964,00004-00002-80964,00002-00003-00003-43137,787215219-080964,1091743977-080964,1396272735-0080964,524474453-080964,1149314310-00080964,372210074-080964,382004890-0000080964
Component 00000000069839,00004-00003-69839,00012-102270,1812069330-069839,77084537-069839,489583391-0069839,343427279-069839,428416656-00069839,137177852-069839,1944348306-0000069839
Component 00000000010580,00003-00011-10580,00003-00001-49063,1335074592-010580,1500431613-010580,1665788634-0010580,1838697346-010580,1011912241-00010580,682277012-010580,1696809025-0000010580
Component 00000000077879,00004-00004-00009-77879,00003-00002-00005-1773,5682407-077879,1648568478-077879,1143970902-0077879,1302503735-077879,1678007968-00077879,1554802523-077879,1454318755-0000077879
Component 00000000066366,00001-00006-00001-66366,00002-00002-00002-5007,1649104725-066366,503120405-066366,1504619732-0066366,1903440027-066366,1190910686-00066366,328948540-066366,1097597847-0000066366
Component 00000000102672,00002-00003-00011-102672,00002-00007-33222,563800614-102672,393343106-102672,222885598-0102672,886546064-102672,1738833604-00102672,971774818-102672,1626961754-0000102672
Component 00000000043507,00002-00002-00009-43507,00003-00004-60008,887708461-043507,1987800024-043507,940407940-0043507,1628799915-043507,423309394-00043507,5012310-043507,718436979-0000043507
Component 00000000095567,00002-00003-00004-95567,00001-00002-00011-81391,1784605302-095567,1878281779-095567,1971958256-0095567,959205319-095567,490822934-00095567,1986108904-095567,75855764-0000095567
Component 00000000057470,00010-57470,00001-00001-00008-3011,305124880-057470,1279936513-057470,107264499-0057470,1412590670-057470,833499799-00057470,1998926677-057470,1274120388-0000057470
Component 00000000047682,00002-00005-00011-47682,00001-00001-00012-65766,1925627382-047682,86328300-047682,394512865-0047682,766451432-047682,1373012254-00047682,1686100973-047682,1094859555-0000047682
Component 00000000113108,00003-00002-00008-113108,00003-00002-00002-78353,1699522713-113108,1746940346-113108,1794357979-0113108,778052443-113108,540964278-00113108,1828085450-113108,902510349-0000113108
Component 00000000098914,00004-00004-00010-98914,00002-00005-32895,300137408-098914,952095664-098914,1604053920-0098914,1855341766-098914,743034133-00098914,1529362638-098914,1717870901-0000098914
Component 00000000062321,00001-00012-62321,00002-00006-00008-15322,2059847851-062321,2018416427-062321,1976985003-0062321,50423787-062321,257580907-00062321,71139499-062321,1722238767-0000062321
Component 00000000044910,00005-00008-44910,00005-00002-21985,1551685451-044910,1012018327-044910,472351203-0044910,1147633701-044910,1698485674-00044910,1417467263-044910,1403579809-0000044910
Component 00000000019706,00001-00001-00011-19706,00001-00001-00007-57506,2115107926-019706,1030162305-019706,2092700331-0019706,2108594659-019706,1090871823-00019706,1577325646-019706,1722639177-0000019706
Component 00000000005435,00003-00001-5435,00001-00005-00012-28586,4347005-005435,450263788-005435,896180571-0005435,1230216334-005435,1148116066-00005435,2080999766-005435,1480861524-0000005435
Component 00000000122923,00003-00003-00008-122923,00002-00001-00001-106107,1359948176-122923,1397485782-122923,1435023388-0122923,1033038420-122923,845350390-00122923,1014269617-122923,1543008392-0000122923
Component 00000000089469,00004-00002-00003-89469,00003-00006-00009-34173,1726723526-089469,2070436924-089469,266666675-0089469,1216954153-089469,1645870810-00089469,1045097454-089469,627370160-0000089469
Component 00000000072011,00001-00002-00004-72011,00001-00001-00009-39516,375192801-072011,918994301-072011,1462795801-0072011,979761787-072011,408237934-00072011,707861037-072011,1377332270-0000072011
Component 00000000060420,00003-00009-60420,00006-00012-85630,550984402-060420,756653248-060420,962322094-0060420,1935988845-060420,907644615-00060420,1833154422-060420,1906717255-0000060420
Component 00000000032956,00001-00001-32956,00004-00005-00011-57874,718791770-032956,358444273-032956,2145580423-0032956,1495549165-032956,1149803003-00032956,601981090-032956,125633137-0000032956
Component 00000000037417,00002-00002-00003-37417,00001-00003-00006-59286,894352298-037417,1502428702-037417,2110505106-0037417,321286834-037417,1575872108-00037417,17248632-037417,1142070607-0000037417
Component 00000000085145,00004-00008-85145,00004-00005-00008-36629,634361408-085145,2040809351-085145,1299773647-0085145,1201351763-085145,611562989-00085145,1571869615-085145,1892438991-0000085145
Component 00000000005463,00003-00003-00003-5463,00004-00003-29354,955331853-005463,139911929-005463,1471975652-0005463,62171185-005463,1991787158-00005463,469881147-005463,1074328023-0000005463
Component 00000000060143,00003-00006-00005-60143,00002-00001-00005-77862,1692309382-060143,1535816179-060143,1379322976-0060143,1618581801-060143,253564169-00060143,623086579-060143,1809941820-0000060143
Component 00000000031538,00003-00003-31538,00003-00006-00004-18178,768024356-031538,1770334247-031538,625160491-0031538,1061672012-031538,345089851-00031538,1634258890-031538,2037067694-0000031538
Component 00000000010919,00004-00006-00012-10919,00002-00006-00004-58582,297038271-010919,282662524-010919,268286777-0010919,673556365-010919,745435100-00010919,1754486062-010919,1617717792-0000010919
Component 00000000084912,00002-00002-00009-84912,00001-30121,719849572-084912,1994947704-084912,1122562189-0084912,285083211-084912,352043492-00084912,1795017792-084912,601420848-0000084912
Component 00000000115130,00001-00002-115130,00003-00002-11455,663630998-115130,274506888-115130,2032866425-0115130,1118464486-115130,916601389-00115130,1313026541-115130,47193782-0000115130
Component 00000000121165,00002-00005-121165,00004-00007-56830,450317891-121165,584136818-121165,717955745-0121165,1571826733-121165,902732098-00121165,431175446-121165,2067231129-0000121165
Component 00000000025047,00002-00001-00009-25047,00002-00002-83512,899796575-025047,746192925-025047,592589275-0025047,2039954138-025047,660488741-00025047,2116755963-025047,1262969281-0000025047
Component 00000000000114,00004-00002-00010-114,00003-00004-3133,199589667-000114,346070920-000114,492552173-0000114,1935221320-000114,1202815055-00000114,788238870-000114,2080884614-0000000114
Component 00000000044427,00002-00005-00006-44427,00003-00009-61278,1168484958-044427,260425753-044427,1499850195-0044427,1151028279-044427,1396357010-00044427,531316058-044427,806349235-0000044427
Component 00000000060365,00004-00006-60365,00004-00001-00006-84064,973942743-060365,387625157-060365,1948791218-0060365,454827233-060365,1238931516-00060365,747986026-060365,1177693639-0000060365
Component 00000000075795,00006-00005-75795,00005-00002-21985,74128276-075795,1391247232-075795,560882541-0075795,1677371879-075795,1534228040-00075795,1018812401-075795,586502719-0000075795
Component 00000000051916,00001-00004-00007-51916,00001-00012-94626,256458000-051916,1244107334-051916,84273021-0051916,912810465-051916,269531089-00051916,418985798-051916,1308639178-0000051916
Component 00000000086242,00002-00002-86242,00002-00001-00009-67362,892617012-086242,1899809619-086242,759518579-0086242,1423076394-086242,682080653-00086242,1993221914-086242,1455216886-0000086242
Component 00000000072731,00001-00001-00009-72731,00003-00001-00009-59718,968714951-072731,1753905981-072731,391613364-0072731,395774260-072731,764786404-00072731,3178745-072731,608668933-0000072731
Component 00000000119718,00003-00004-00001-119718,00004-00006-00003-69124,849385535-119718,1461383229-119718,2073380923-0119718,466502636-119718,1701481460-00119718,160503789-119718,578123754-0000119718
Component 00000000080920,00008-80920,00004-00005-00006-41879,1443887056-080920,1035898037-080920,627909018-0080920,2057514281-080920,1949975729-00080920,1187766967-080920,924335484-0000080920
Component 00000000067236,00001-00001-67236,00004-00005-00004-29384,1071797221-067236,905857204-067236,739917187-0067236,539899161-067236,1369599246-00067236,1696610993-067236,978400091-0000067236
Component 00000000116655,00006-116655,00006-00011-54130,1400842176-116655,2010239265-116655,472152707-0116655,1965571758-116655,1066069960-00116655,587131390-116655,211732079-0000116655
Component 00000000002125,00004-00006-2125,00004-00012-59409,1493336455-002125,1416375679-002125,1339414903-0002125,2055706113-002125,293026346-00002125,2094186501-002125,919396079-0000002125
