Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000007875,00010-7875,00001-00003-96866,1879443267-007875,2061075421-007875,95223928-0007875,2098668148-007875,1190507378-00007875,2007852071-007875,2058611776-0000007875
Component 00000000068893,00003-00006-00006-68893,00002-00002-75805,920245438-068893,1425041312-068893,1929837186-0068893,1780525210-068893,1404029487-00068893,1528127273-068893,364820388-0000068893
Component 00000000002820,00006-00012-2820,00001-00005-78876,2006269815-002820,421576898-002820,984367628-0002820,1384332809-002820,717862806-00002820,1102937444-002820,1609714384-0000002820
Component 00000000080700,00004-00009-80700,00004-00004-00002-35739,1054166451-080700,1356252528-080700,1658338605-0080700,1746697480-080700,236267095-00080700,521912618-080700,2085998976-0000080700
Component 00000000051186,00001-00002-00005-51186,00001-00002-00007-74146,1061348548-051186,485681929-051186,2057498957-0051186,2132546761-051186,715912562-00051186,1346638247-051186,883275477-0000051186
Component 00000000039712,00002-00001-00010-39712,00002-123515,1443229347-039712,916576235-039712,389923123-0039712,1670357179-039712,8655445-00039712,1933683735-039712,853981561-0000039712
Component 00000000068646,00001-00004-00006-68646,00003-00001-00003-110503,43407395-068646,836118684-068646,1628829973-0068646,908941089-068646,1240351938-00068646,1586327268-068646,1996199990-0000068646
Component 00000000101706,00001-00003-00007-101706,00003-00001-00002-6203,1616494535-101706,1477935467-101706,1339376399-0101706,1338830678-101706,2031626018-00101706,1408110212-101706,508512526-0000101706
Component 00000000033137,00002-00006-33137,00001-00004-00008-62941,1164101446-033137,504296979-033137,1991976159-0033137,302097678-033137,1453636366-00033137,1705741735-033137,1824051479-0000033137
Component 00000000068482,00002-00001-00011-68482,00001-64260,632395405-068482,1887169245-068482,994459438-0068482,1359384529-068482,1527966270-00068482,731997609-068482,1184117155-0000068482
Component 00000000058296,00001-00004-58296,00004-00005-00012-26129,2016098880-058296,705512040-058296,1542408847-0058296,729662903-058296,840146162-00058296,1384956323-058296,1617766756-0000058296
Component 00000000028753,00003-00004-00010-28753,00005-63770,561654657-028753,994499755-028753,1427344853-0028753,79805440-028753,63063597-00028753,2010866538-028753,1924488681-0000028753
Component 00000000018779,00004-00005-00007-18779,00004-00001-31564,2031327914-018779,1008613125-018779,2133381983-0018779,748042705-018779,1566649356-00018779,185658276-018779,554819376-0000018779
Component 00000000117281,00001-00003-00008-117281,00001-00002-00005-71661,1815161111-117281,310699559-117281,953721654-0117281,1863219837-117281,795593009-00117281,467966966-117281,1010291570-0000117281
Component 00000000075975,00004-00003-75975,00003-00001-00009-26958,262194619-075975,1269453627-075975,129228988-0075975,1869616273-075975,1128288527-00075975,1365986769-075975,2071153599-0000075975
Component 00000000051102,00002-00002-00012-51102,00003-00001-71813,600397825-051102,406505114-051102,212612403-0051102,860277753-051102,1829741308-00051102,2030965932-051102,1398235156-0000051102
Component 00000000116772,00002-00005-00006-116772,00001-00007-57415,1966937451-116772,2094882958-116772,75344818-0116772,656101776-116772,16374241-00116772,1665870846-116772,17902183-0000116772
Component 00000000087890,00005-00010-87890,00002-00002-00004-113507,1833744563-087890,1302586709-087890,771428855-0087890,1842392408-087890,203214384-00087890,2107971335-087890,657197801-0000087890
Component 00000000051148,00003-00006-00006-51148,00003-00002-00004-73103,27453978-051148,1163449804-051148,151961983-0051148,1436160364-051148,51148528-00051148,868162451-051148,1816462198-0000051148
Component 00000000096607,00002-00004-96607,00003-00003-00011-110498,1955557116-096607,1912773778-096607,1869990440-0096607,2028048870-096607,94481913-00096607,2049440539-096607,64976877-0000096607
Component 00000000025609,00004-00003-00012-25609,00001-00001-00006-99261,100125999-025609,1851266516-025609,1454923386-0025609,204837017-025609,39069020-00025609,403008582-025609,1690829226-0000025609
Component 00000000099786,00001-00001-00011-99786,00004-00002-75959,930653050-099786,744415750-099786,558178450-0099786,488078588-099786,1419265088-00099786,581197238-099786,1703377996-0000099786
Component 00000000045551,00001-00002-00012-45551,00001-00005-39915,1247844994-045551,1879633463-045551,363938285-0045551,751072859-045551,1887097808-00045551,1508920448-045551,1963035239-0000045551
Component 00000000025787,00002-00006-00008-25787,00005-00001-104235,1401200345-025787,1536966689-025787,1672733033-0025787,1543417088-025787,864585368-00025787,1475533916-025787,991106745-0000025787
