Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000091916,00001-00006-00006-91916,00003-102700,545736253-091916,2054900025-091916,1416580150-0091916,725735197-091916,1769850925-00091916,2118636958-091916,38979422-0000091916
Component 00000000038657,00002-00003-00008-38657,00003-00012-93950,964810558-038657,1513995105-038657,2063179652-0038657,756715500-038657,158276412-00038657,1555865050-038657,1541605972-0000038657
Component 00000000058520,00007-58520,00003-00006-00001-32423,1150312049-058520,356735545-058520,1710642688-0058520,1316557251-058520,989472477-00058520,1713345503-058520,2042035140-0000058520
Component 00000000100174,00004-00004-00009-100174,00003-00002-00005-86858,1232758289-100174,1418394975-100174,1604031661-0100174,1646202972-100174,718019542-00100174,1553384629-100174,354534440-0000100174
Component 00000000122044,00004-00006-122044,00005-00001-81485,1229682838-122044,2092762656-122044,808358827-0122044,139381071-122044,118949275-00122044,1855324809-122044,1432765723-0000122044
Component 00000000054406,00001-00002-00001-54406,00004-75040,712792355-054406,1563096495-054406,265916988-0054406,1150353852-054406,1193800446-00054406,725201782-054406,852805183-0000054406
Component 00000000036458,00003-00002-00006-36458,00003-00004-00010-32393,636031326-036458,1278702384-036458,1921373442-0036458,1740806581-036458,674934938-00036458,1419471052-036458,2008034778-0000036458
Component 00000000035387,00002-00002-00001-35387,00002-00003-00005-2397,572128371-035387,272456069-035387,2120267414-0035387,1070407253-035387,421285116-00035387,1220243404-035387,472580695-0000035387
Component 00000000022227,00002-00002-00010-22227,00001-00003-00009-4546,1545688262-022227,1282142700-022227,1018597138-0022227,1648630387-022227,818874550-00022227,1780403168-022227,304602307-0000022227
Component 00000000025335,00002-00011-25335,00001-00005-00001-91586,1037598603-025335,772759791-025335,507920979-0025335,1077818103-025335,254528516-00025335,1210237509-025335,763804637-0000025335
Component 00000000048121,00001-00003-00008-48121,00004-00005-00001-111879,825236871-048121,141388502-048121,1605023780-0048121,944587503-048121,68862054-00048121,212769864-048121,1056655258-0000048121
Component 00000000018328,00003-00002-00011-18328,00001-00006-00009-18976,1702894649-018328,931869284-018328,160843919-0018328,1889128269-018328,1449287800-00018328,1200899128-018328,2076570949-0000018328
Component 00000000060673,00003-00004-00002-60673,00003-92690,952455830-060673,1737914700-060673,375889923-0060673,392505379-060673,760178323-00060673,2147259591-060673,2014135669-0000060673
Component 00000000123305,123305,00001-00003-00012-116791,375558747-123305,383931705-123305,392304663-0123305,781647210-123305,739782420-00123305,777460731-123305,825498130-0000123305
Component 00000000104692,00002-00003-104692,00002-00001-89805,1041622657-104692,2032319027-104692,875531750-0104692,1845756368-104692,1187241812-00104692,1350408183-104692,44713804-0000104692
Component 00000000035936,00001-00005-00004-35936,00002-00004-00006-17777,1133172498-035936,1499692085-035936,1866211672-0035936,655761468-035936,970647180-00035936,1546243498-035936,179516600-0000035936
Component 00000000117275,00004-00002-117275,00005-00001-71475,1711955972-117275,577670861-117275,1590869397-0117275,1459961087-117275,688935701-00117275,953361819-117275,720247284-0000117275
Component 00000000119114,00004-00002-00008-119114,00004-00004-00001-122994,1308537532-119114,1846232602-119114,236444025-0119114,1616944663-119114,1075952960-00119114,1348097128-119114,1527921759-0000119114
Component 00000000050097,00002-00005-00008-50097,00001-00004-00011-43691,1973091253-050097,785433071-050097,1745258536-0050097,206244248-050097,1849567864-00050097,800073339-050097,2101542053-0000050097
Component 00000000030121,00001-30121,00010-41545,711742471-030121,1285256924-030121,1858771377-0030121,1683647854-030121,963559236-00030121,323148804-030121,270202892-0000030121
Component 00000000118781,00001-00005-118781,00004-113659,1626817318-118781,450014412-118781,1420695153-0118781,386451199-118781,1975498435-00118781,974852652-118781,583870928-0000118781
Component 00000000066905,00006-00007-66905,00002-00001-00001-20112,1874825664-066905,839753740-066905,1952165463-0066905,1065961231-066905,1946353557-00066905,1583497193-066905,103215044-0000066905
Component 00000000092875,00006-00003-92875,00004-00004-00009-5989,691171679-092875,1876157475-092875,913659624-0092875,180924316-092875,698446277-00092875,1735915065-092875,1187565944-0000092875
Component 00000000012248,00003-00005-00002-12248,00003-00005-00009-95793,2035976970-012248,2047094549-012248,2058212128-0012248,1501437728-012248,1445849833-00012248,422137115-012248,1413820407-0000012248
Component 00000000109692,00002-00002-00011-109692,00005-00007-106230,1438916922-109692,729104668-109692,19292414-0109692,1372760955-109692,626854931-00109692,1727667082-109692,1585945326-0000109692
Component 00000000116965,00002-00004-116965,00003-00002-62818,1626025106-116965,641430350-116965,1804319241-0116965,1117819674-116965,1745826160-00116965,1610117052-116965,1169910513-0000116965
Component 00000000055141,00001-00002-00008-55141,00004-00003-00010-61344,1772922527-055141,1872123489-055141,1971324451-0055141,141718243-055141,1793197080-00055141,92117762-055141,718503874-0000055141
Component 00000000000015,00001-00002-15,00004-00001-00010-309,830294227-000015,624520752-000015,418747277-0000015,513957101-000015,1542824476-00000015,1690585662-000015,743216644-0000000015
Component 00000000008504,00004-00006-00002-8504,00002-00007-114550,1420173714-008504,1429024209-008504,1437874704-0008504,775680898-008504,731428423-00008504,1844997474-008504,829908720-0000008504
Component 00000000026852,00002-00007-26852,00002-00004-00002-10532,480928161-026852,485406963-026852,489885765-0026852,698150058-026852,675756048-00026852,695910657-026852,840575049-0000026852
Component 00000000015023,00003-00001-00008-15023,00003-00006-00003-49923,250024099-015023,1584282060-015023,771056374-0015023,1610767621-015023,1381928757-00015023,2017380464-015023,322366658-0000015023
Component 00000000031343,00003-00004-31343,00003-00003-00003-12743,1001416968-031343,1077535218-031343,1153653468-0031343,398184799-031343,17593549-00031343,360125674-031343,748225105-0000031343
Component 00000000096567,00002-00002-00003-96567,00003-00002-00007-109363,1050301917-096567,1797447241-096567,397108918-0096567,779628132-096567,1338868806-00096567,406055470-096567,1328185702-0000096567
Component 00000000041985,00006-00008-41985,00001-00007-63616,168772339-041985,711857318-041985,1254942297-0041985,1812331880-041985,1244390632-00041985,467047567-041985,30650488-0000041985
Component 00000000060660,00005-00002-60660,00003-00002-00001-92353,2077933236-060660,1059954003-060660,41974770-0060660,1024322493-060660,1819251364-00060660,459570286-060660,1110267416-0000060660
Component 00000000023415,00002-23415,00001-00005-00009-37826,506956149-023415,878819918-023415,1250683687-0023415,288737946-023415,576902748-00023415,1176547885-023415,1846664646-0000023415
Component 00000000079639,00004-00001-79639,00001-6020,1093668458-079639,1592160223-079639,2090651988-0079639,574457120-079639,229481942-00079639,1398953061-079639,440985267-0000079639
Component 00000000094883,00003-00005-00009-94883,00005-00004-62235,1873609686-094883,1242618832-094883,611627978-0094883,1335324325-094883,195311301-00094883,1650819752-094883,427760120-0000094883
Component 00000000016686,00001-00005-00007-16686,00001-00002-26860,651822277-016686,627691308-016686,603560339-0016686,555212104-016686,675866949-00016686,1641019412-016686,491364716-0000016686
Component 00000000092959,00004-00006-00009-92959,00003-00004-00011-8383,1011088124-092959,1768597684-092959,378623597-0092959,1243079785-092959,1750499279-00092959,864325005-092959,732302785-0000092959
Component 00000000080605,00005-80605,00003-00009-33068,1306142814-080605,159208858-080605,1159758549-0080605,1514420770-080605,806639609-00080605,2087887748-080605,1699583463-0000080605
