Component 00000000050524,00004-00005-00006-50524,00002-00001-00001-55602,1166874204-050524,864210617-050524,561547030-0050524,446333940-050524,1959651875-00050524,1671407557-050524,1673123317-0000050524
Component 00000000085289,00004-00001-00009-85289,00003-00004-00001-13703,968310756-085289,1476688689-085289,1985066622-0085289,928578566-085289,534172548-00085289,1748131423-085289,766686420-0000085289
Component 00000000078465,00002-00010-78465,00002-00005-96712,1962238285-078465,117197715-078465,419640792-0078465,524600167-078465,1159868429-00078465,1447120452-078465,1024175028-0000078465
Component 00000000096910,00002-00008-96910,00002-00009-118972,142629327-096910,1481227086-096910,672341198-0096910,1713853052-096910,1463315198-00096910,2118295996-096910,2094609828-0000096910
Component 00000000060284,00004-00003-60284,00003-00001-81823,1537137997-060284,1686910156-060284,1836682315-0060284,1284894944-060284,536034149-00060284,136267041-060284,524287184-0000060284
Component 00000000038121,00001-00006-00005-38121,00003-00012-78935,1337669421-038121,1849960454-038121,214767840-0038121,1487722581-038121,1073751063-00038121,157835241-038121,2008855291-0000038121
Component 00000000043350,00006-00008-43350,00001-00003-101871,1163882892-043350,1510216259-043350,1856549626-0043350,1854923839-043350,123257004-00043350,608015332-043350,261865927-0000043350
Component 00000000110949,00004-00006-00007-110949,00003-00006-00006-17933,1030451111-110949,1970654392-110949,763374026-0110949,459411829-110949,53362718-00110949,1063052012-110949,73778525-0000110949
Component 00000000063630,00008-63630,00003-00002-51950,1373643432-063630,2098786161-063630,676445243-0063630,1109585613-063630,1778839262-00063630,1820756072-063630,1068054944-0000063630
Component 00000000037521,00001-00001-00003-37521,00004-00003-00001-60399,1688172917-037521,1466372156-037521,1244571395-0037521,594512420-037521,1703516225-00037521,1779154624-037521,951321286-0000037521
Component 00000000086063,00003-00005-00003-86063,00003-00002-00010-62358,51934498-086063,1679802597-086063,1160187049-0086063,620384184-086063,1070978277-00086063,880191958-086063,85859649-0000086063
Component 00000000107319,00004-00002-00004-107319,00001-00001-00007-39761,73117366-107319,342252801-107319,611388236-0107319,1315025905-107319,2116832377-00107319,106716364-107319,326023895-0000107319
Component 00000000073731,00001-00008-73731,00002-00005-00002-87687,995580757-073731,1147364161-073731,1299147565-0073731,1914624910-073731,1155707890-00073731,1838733208-073731,1895894263-0000073731
Component 00000000109318,00003-00006-00001-109318,00003-00005-00009-95793,391906065-109318,1845908358-109318,1152427004-0109318,1117798748-109318,290238224-00109318,1464539425-109318,1146466255-0000109318
Component 00000000108011,00001-00001-00007-108011,00008-25410,293239265-108011,1472930445-108011,505137978-0108011,1673686673-108011,70198067-00108011,1083841083-108011,217437575-0000108011
Component 00000000050347,00002-00003-00011-50347,00001-00004-00004-50691,1878462618-050347,1326903408-050347,775344198-0050347,897644697-050347,1507957100-00050347,1173424302-050347,990133845-0000050347
Component 00000000000178,00003-00003-00009-178,00001-00001-4915,1472045772-000178,1813602850-000178,7676281-0000178,857694879-000178,1297393136-00000178,686916340-000178,1877022180-0000000178
Component 00000000081944,00004-00002-00005-81944,00003-00002-00011-8318,1610302524-081944,1325935991-081944,1041569458-0081944,1777169379-081944,1051518397-00081944,845610822-081944,1576128089-0000081944
Component 00000000100471,00001-00007-100471,00002-00003-95147,2096998703-100471,1862984134-100471,1628969565-0100471,410968518-100471,1581041363-00100471,1601717626-100471,610208796-0000100471
Component 00000000024256,00001-00001-00011-24256,00001-00002-00007-61406,431494735-024256,1206018121-024256,1980541507-0024256,1488656957-024256,1911007321-00024256,1101395264-024256,1507981199-0000024256
Component 00000000112471,00001-00002-00008-112471,00001-00003-00005-60546,857257836-112471,1883842524-112471,762943565-0112471,1254491323-112471,416535177-00112471,741198979-112471,1971758198-0000112471
Component 00000000059230,00003-00002-59230,00002-00004-00001-52287,533858394-059230,218182136-059230,2049989525-0059230,255945410-059230,1834326700-00059230,413783539-059230,762509703-0000059230
Component 00000000078954,00004-00001-00005-78954,00001-00006-110376,1447193-078954,307802245-078954,614157297-0078954,1974765333-078954,442990073-00078954,1821587807-078954,740940884-0000078954
Component 00000000055333,00003-00005-00005-55333,00002-00001-66717,1519477959-055333,1238705192-055333,957932425-0055333,1860642465-055333,1117022653-00055333,927287025-055333,674549239-0000055333
Component 00000000087388,00003-00002-87388,00001-00004-00009-99446,165843608-087388,1690277943-087388,1067228631-0087388,12723034-087388,980485947-00087388,324247690-087388,1016911994-0000087388
Component 00000000001769,00004-00005-00001-1769,00003-00003-00002-49493,968501290-001769,1897139860-001769,678294783-0001769,910315348-001769,562089792-00001769,445996063-001769,1313504821-0000001769
Component 00000000064737,00002-00001-00010-64737,00003-00001-00005-82958,1727606614-064737,874572276-064737,21537938-0064737,1157630514-064737,1127834910-00064737,1584147683-064737,508643316-0000064737
Component 00000000019733,00003-00012-19733,00002-58305,1102865897-019733,966756010-019733,830646123-0019733,2017729142-019733,550794930-00019733,1012042262-019733,1782299897-0000019733
Component 00000000033299,00004-00006-33299,00004-00004-00001-67484,646617693-033299,1910926105-033299,1027750870-0033299,1836033559-033299,1956942440-00033299,1203879353-033299,2032844374-0000033299
Component 00000000011039,00004-00002-11039,00003-00001-61958,1895919070-011039,1557899577-011039,1219880084-0011039,1608101012-011039,1150714830-00011039,703368935-011039,83158253-0000011039
Component 00000000020971,00001-00006-00002-20971,00001-00004-00012-92936,1031639333-020971,610631088-020971,189622843-0020971,1013834097-020971,971391675-00020971,150596396-020971,1143909755-0000020971
Component 00000000099330,00010-99330,1436259974,1628796470-099330,24135309-099330,566957795-0099330,38399630-099330,1619254494-00099330,1914472034-099330,189720201-0000099330
Component 00000000044744,00004-00011-44744,00003-00002-17318,996814393-044744,1714993579-044744,285689118-0044744,1468766562-044744,25354279-00044744,1109676969-044744,1962447699-0000044744
Component 00000000013608,00003-00010-13608,00001-00003-00003-10286,347462626-013608,155659770-013608,2111340561-0013608,1782442345-013608,593972978-00013608,1878343773-013608,198465504-0000013608
Component 00000000035863,00003-00002-00009-35863,00001-00006-00004-15721,770550190-035863,2105535842-035863,1293037847-0035863,1092844902-035863,860367583-00035863,425352076-035863,2096084712-0000035863
Component 00000000086391,00001-00004-00006-86391,00005-00005-15475,1380103896-086391,1376967694-086391,1373831492-0086391,1227998099-086391,1243679109-00086391,1229566200-086391,1688326665-0000086391
Component 00000000051330,00006-00006-51330,00003-00005-78200,1914823187-051330,1514827609-051330,1114832031-0051330,1842390477-051330,1694884720-00051330,2042388266-051330,1430936381-0000051330
Component 00000000088444,00004-00006-00005-88444,00003-00001-00008-5468,147237179-088444,1008153944-088444,1869070709-0088444,25769165-088444,16152634-00088444,669052606-088444,1539915412-0000088444
Component 00000000086719,00004-00003-00009-86719,00003-00001-00001-80718,1678940115-086719,611074141-086719,1690691814-0086719,1427047904-086719,323926833-00086719,1960980891-086719,237091557-0000086719
Component 00000000032190,00004-00002-32190,00004-00001-36414,330129409-032190,816466940-032190,1302804471-0032190,1368921369-032190,1084717361-00032190,52010780-032190,1770346308-0000032190
Component 00000000094390,00002-00010-94390,00004-00007-48419,1121263388-094390,1942785020-094390,616823005-0094390,162873247-094390,350232381-00094390,1899596078-094390,1932997380-0000094390
Component 00000000003323,00003-00005-00008-3323,00003-00001-00005-92968,1779932954-003323,951944443-003323,123955932-0003323,1350937640-003323,1195912901-00003323,691190072-003323,682597516-0000003323
Component 00000000059320,00002-00001-59320,00004-00006-00005-54774,93682184-059320,1571829466-059320,902493101-0059320,916865010-059320,2116063188-00059320,177791369-059320,1659919208-0000059320
