Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000081740,00001-00009-81740,00004-00001-64845,849422039-081740,2053003550-081740,1109101414-0081740,167325030-081740,591868416-00081740,639276098-081740,1952540073-0000081740
Component 00000000078882,00002-00006-00011-78882,00004-00003-00007-108349,1229292297-078882,1243593594-078882,1257894891-0078882,849163378-078882,777656893-00078882,1915754553-078882,1482190731-0000078882
Component 00000000108714,00004-00004-00008-108714,00004-00003-00012-78844,348196882-108714,1710650477-108714,925620425-0108714,928945006-108714,559127972-00108714,1321460032-108714,2012386280-0000108714
Component 00000000060623,00003-00003-00004-60623,00003-00005-00005-91278,1942545053-060623,1977323231-060623,2012101409-0060623,1481803039-060623,1307912149-00060623,1464413950-060623,1139488664-0000060623
Component 00000000028787,00002-00003-00005-28787,00002-00008-64722,1256466599-028787,1976441629-028787,548933012-0028787,1815517202-028787,363125699-00028787,1455529687-028787,667302166-0000028787
Component 00000000048211,00001-00002-00007-48211,00001-00005-114366,684102899-048211,1463474734-048211,95362922-0048211,902673074-048211,1300781193-00048211,1586728980-048211,1348485080-0000048211
Component 00000000082272,00002-00001-00008-82272,00001-00003-00002-79796,1578944842-082272,528136976-082272,1624812757-0082272,6887222-082272,965959258-00082272,532291155-082272,75581903-0000082272
Component 00000000021274,00004-00001-00006-21274,00001-00010-101410,1685947923-021274,1615932227-021274,1545916531-0021274,437670314-021274,787748794-00021274,472678162-021274,701332303-0000021274
Component 00000000060594,00004-00002-00001-60594,00001-00001-00005-90511,1064878428-060594,682604743-060594,300331058-0060594,778215705-060594,542100483-00060594,2043094371-060594,1977102685-0000060594
Component 00000000043221,00001-00003-00009-43221,00002-00002-98217,833983924-043221,365375904-043221,2044251531-0043221,1728815071-043221,1924371524-00043221,1963119081-043221,1158739844-0000043221
Component 00000000054501,00001-00006-00005-54501,00004-00007-43414,238277475-054501,1693505325-054501,1001249528-0054501,2097351496-054501,1263663187-00054501,1369737571-054501,968977191-0000054501
Component 00000000088597,00002-00005-00002-88597,00002-9765,357105001-088597,618194855-088597,879284709-0088597,135061038-088597,977095415-00088597,4516111-088597,333661617-0000088597
Component 00000000003210,00004-00012-3210,00002-00001-89805,544334774-003210,1546402740-003210,400987059-0003210,1899990891-003210,1184618355-00003210,1398956908-003210,350856451-0000003210
Component 00000000080467,00002-00002-00010-80467,00004-00002-00001-29199,1702260198-080467,1358481163-080467,1014702128-0080467,1135104353-080467,706515881-00080467,233252047-080467,825490066-0000080467
Component 00000000050028,00003-00006-00004-50028,00002-00002-00001-41757,1534835243-050028,1613378667-050028,1691922091-0050028,1049224013-050028,656506893-00050028,1009952301-050028,1006270344-0000050028
Component 00000000032044,00004-00005-00012-32044,00001-00005-32331,1836480749-032044,1268992281-032044,701503813-0032044,83093815-032044,773052508-00032044,366838049-032044,2108078057-0000032044
Component 00000000044295,00006-00004-44295,00002-00004-00008-4792,1398939513-044295,634914327-044295,2018372788-0044295,850939991-044295,376098627-00044295,1232952584-044295,1249762854-0000044295
Component 00000000102565,00001-00008-102565,1436259974,1676658686-102565,1868969372-102565,2061280058-0102565,266308722-102565,1452238939-00102565,170153379-102565,1970899120-0000102565
Component 00000000070993,00003-00006-70993,,1510903021-070993,1106227608-070993,701552195-0070993,137756490-070993,13649908-00070993,1413836020-070993,1329723161-0000070993
Component 00000000036751,00001-00001-36751,00006-00008-40620,1262848375-036751,1426754082-036751,1590659789-0036751,1696082400-036751,876553865-00036751,540387723-036751,22165620-0000036751
Component 00000000068009,00004-00004-00006-68009,00003-00005-00003-51028,1593944606-068009,170428146-068009,894395333-0068009,1272873000-068009,1948004359-00068009,1984631230-068009,209667389-0000068009
Component 00000000023994,00004-00005-00009-23994,00003-00001-54068,346445605-023994,1228575833-023994,2110706061-0023994,180088723-023994,64404877-00023994,1886507256-023994,684505828-0000023994
Component 00000000111022,00002-00002-00002-111022,00002-00005-00011-19927,1105481466-111022,1631773757-111022,10582401-0111022,1934595639-111022,1450617831-00111022,597707670-111022,1805150942-0000111022
Component 00000000046000,00003-00006-46000,00002-00004-52472,1211528727-046000,1756068760-046000,153125146-0046000,778174740-046000,202958222-00046000,1579646547-046000,744949226-0000046000
Component 00000000101915,00002-00008-101915,00002-00004-00012-12037,582742480-101915,409091643-101915,235440806-0101915,1824353297-101915,545123835-00101915,837436892-101915,304358695-0000101915
Component 00000000012495,00002-12495,00003-102700,1056123369-012495,1772569039-012495,341531062-0012495,1444000012-012495,9255309-00012495,1085777177-012495,2147270286-0000012495
Component 00000000059040,00002-00007-59040,00001-00006-00007-46976,2043426676-059040,2023369938-059040,2003313200-0059040,1070674883-059040,1170958573-00059040,1080703252-059040,720661739-0000059040
Component 00000000104645,00002-00008-104645,00004-00002-00002-88454,1248639437-104645,191388319-104645,1281620848-0104645,1511567742-104645,355372391-00104645,2040193301-104645,19036515-0000104645
Component 00000000107192,00002-00001-00007-107192,00005-00012-36230,1942916505-107192,277314321-107192,759195784-0107192,618105520-107192,356181852-00107192,1450906612-107192,264541526-0000107192
