Component 00000000071551,00001-00004-00012-71551,00001-00002-00001-26651,1295239515-071551,70182386-071551,992608904-0071551,935769051-071551,618603755-00071551,474555792-071551,2029012347-0000071551
Component 00000000051277,00002-00002-00005-51277,00001-00004-00009-76696,1522577745-051277,21237582-051277,667381066-0051277,648282014-051277,1712531888-00051277,325210272-051277,1808718571-0000051277
Component 00000000089560,00002-00003-89560,00002-00010-36722,331916077-089560,712255674-089560,1092595271-0089560,524775532-089560,770561194-00089560,1408347557-089560,1206368483-0000089560
Component 00000000034425,00006-00001-34425,00001-00001-00008-99016,450769057-034425,100852182-034425,1898418954-0034425,1733411619-034425,1335512347-00034425,834628233-034425,1674721859-0000034425
Component 00000000004812,00002-00003-00002-4812,00002-00003-00006-11147,1842842374-004812,1416599932-004812,990357490-0004812,497436760-004812,481165323-00004812,710557981-004812,843888804-0000004812
Component 00000000031364,00004-00004-00008-31364,00001-00005-00001-13326,1175370892-031364,405684439-031364,1783481633-0031364,1426541744-031364,980006715-00031364,737643147-031364,668894046-0000031364
Component 00000000116077,00002-00003-116077,00004-00002-00002-37949,708066675-116077,1127253421-116077,1546440167-0116077,1711271033-116077,1762820950-00116077,1501677660-116077,1976770767-0000116077
Component 00000000056950,00005-00010-56950,00001-00001-00006-112001,1127109220-056950,865520951-056950,603932682-0056950,251238232-056950,1559179577-00056950,1455774190-056950,2030047469-0000056950
Component 00000000122194,00004-00002-00007-122194,1436259974,1904615147-122194,983612547-122194,62609947-0122194,185661987-122194,495707693-00122194,646163287-122194,1170493601-0000122194
Component 00000000119062,00002-00006-00008-119062,00002-00004-00002-121552,1488529835-119062,1579180788-119062,1669831741-0119062,516391938-119062,63137173-00119062,1544808285-119062,293383139-0000119062
Component 00000000105996,00001-00002-00007-105996,00003-00005-00004-47038,1329057498-105996,79247972-105996,976922093-0105996,842837603-105996,649434292-00105996,1467742366-105996,1979793574-0000105996
Component 00000000088743,00003-00004-00005-88743,00004-00005-00008-13879,273282512-088743,2035466609-088743,1650167059-0088743,913607160-088743,692621263-00088743,1106256935-088743,270863357-0000088743
Component 00000000068502,00002-00005-68502,00003-00008-64813,850478949-068502,1481353914-068502,2112228879-0068502,309401870-068502,1449994339-00068502,1067706211-068502,1626647272-0000068502
Component 00000000003059,00004-00004-3059,00003-00002-85568,1492986750-003059,1454192452-003059,1415398154-0003059,1758946944-003059,1952918434-00003059,1778344093-003059,727741055-0000003059
Component 00000000105072,00002-00002-00006-105072,00001-00002-00010-100396,1770420889-105072,602778097-105072,1582618952-0105072,974320299-105072,370083318-00105072,1558141695-105072,1869628409-0000105072
Component 00000000008601,00001-00005-00008-8601,00001-00004-00009-117191,460048267-008601,735555219-008601,1011062171-0008601,937233557-008601,1707182444-00008601,799480081-008601,1960436206-0000008601
Component 00000000066407,00002-00005-00003-66407,00003-00006-00011-6173,998942705-066407,2100128952-066407,1053831552-0066407,1793126333-066407,582162392-00066407,168791386-066407,214575136-0000066407
Component 00000000069995,00002-00003-69995,1436259974,723279701-069995,1448579694-069995,26396040-0069995,466849186-069995,1135316515-00069995,1177941013-069995,839518787-0000069995
Component 00000000053765,00005-00010-53765,00003-00011-22813,2027123550-053765,1243093518-053765,459063486-0053765,508888997-053765,134071863-00053765,900904013-053765,538045697-0000053765
Component 00000000081966,00001-00003-00001-81966,1436259974,633868698-081966,867752342-081966,1101635986-0081966,1239807197-081966,70388977-00081966,1122865375-081966,713353339-0000081966
Component 00000000054547,00002-00003-00012-54547,00003-00001-00009-44703,856205827-054547,1622663111-054547,241636748-0054547,1522162102-054547,1984842976-00054547,1138933460-054547,862302778-0000054547
Component 00000000052818,00003-00003-00012-52818,00002-00001-00002-119862,989167341-052818,1837430297-052818,538209606-0052818,1327731414-052818,1381383928-00052818,903599936-052818,199702740-0000052818
Component 00000000011595,00003-00012-11595,00003-00003-77493,1847642302-011595,2129107996-011595,263090043-0011595,466342932-011595,1206498109-00011595,325610085-011595,363646953-0000011595
Component 00000000102410,00009-102410,00003-00004-25883,1858269937-102410,581632833-102410,1452479376-0102410,70912509-102410,11647088-00102410,709231061-102410,824597678-0000102410
Component 00000000004425,00001-00005-4425,00004-00006-00006-279,1701037059-004425,1041358404-004425,381679749-0004425,845135173-004425,1996044801-00004425,101232677-004425,1951125240-0000004425
Component 00000000040218,00003-00003-00009-40218,00001-00004-00003-14186,332367880-040218,1816284445-040218,1152717363-0040218,361619108-040218,1531970871-00040218,693402649-040218,248052809-0000040218
Component 00000000053179,00004-00009-53179,00003-00004-00005-6388,804903200-053179,1085890244-053179,1366877288-0053179,1547872952-053179,142937732-00053179,1407379430-053179,693418537-0000053179
Component 00000000066151,00001-00001-00007-66151,00003-00005-00008-122533,1914386641-066151,1035124396-066151,155862151-0066151,1146098875-066151,1247442806-00066151,511988174-066151,1703762615-0000066151
Component 00000000077776,00001-00006-00010-77776,00001-00002-00012-77401,1886029245-077776,755838577-077776,1773131556-0077776,758873022-077776,2114859068-00077776,1323968356-077776,1417104784-0000077776
Component 00000000011965,00002-00005-11965,00004-00005-00002-87869,1337656083-011965,257909242-011965,1325646048-0011965,1583283646-011965,539566910-00011965,1049415243-011965,739565710-0000011965
Component 00000000115109,00004-00001-00007-115109,00002-00007-10810,809635933-115109,2009453293-115109,1061787006-0115109,1018719424-115109,1462083565-00115109,418810744-115109,1511322171-0000115109
Component 00000000004980,00003-00001-4980,00003-00005-00001-15783,1911451634-004980,1686141794-004980,1460831954-0004980,1721342629-004980,700408182-00004980,1833997549-004980,212857731-0000004980
Component 00000000108732,00002-00001-108732,00004-00009-79335,323751382-108732,566139769-108732,808528156-0108732,268428093-108732,1203969805-00108732,1220975723-108732,2046160110-0000108732
Component 00000000108624,00004-00005-00009-108624,00001-00005-00003-76326,1321680764-108624,547339039-108624,1920480961-0108624,1347070924-108624,923812255-00108624,660499963-108624,1334140552-0000108624
Component 00000000009471,00001-00007-9471,00002-00011-18055,1510779903-009471,460242789-009471,1557189322-0009471,2099337402-009471,909572031-00009471,477122312-009471,2031886802-0000009471
Component 00000000034087,00002-00004-00001-34087,00004-00006-00011-89529,1129783231-034087,2018159225-034087,759051572-0034087,1266346000-034087,1119433324-00034087,822158003-034087,1976313309-0000034087
Component 00000000093213,00003-00001-00003-93213,00004-00001-00007-4999,1090092485-093213,534957820-093213,2127306802-0093213,1009606820-093213,1637796498-00093213,213432329-093213,409593873-0000093213
Component 00000000023035,00005-00012-23035,00003-00009-27205,920029972-023035,1676196532-023035,284879445-0023035,1086886133-023035,1601020627-00023035,708802853-023035,2120659645-0000023035
Component 00000000066763,00003-00004-00008-66763,00006-16120,1058386138-066763,1949564885-066763,693259985-0066763,257140604-066763,96214163-00066763,885293054-066763,2107278258-0000066763
Component 00000000023602,00002-00005-00007-23602,00002-00006-00008-43077,1066077134-023602,1575259587-023602,2084442040-0023602,1065364164-023602,666935546-00023602,1884514761-023602,835160520-0000023602
Component 00000000000555,00002-00009-555,00003-00001-15445,508418136-000555,312086247-000555,115754358-0000555,649997931-000555,1631657376-00000555,1821905699-000555,1016316535-0000000555
Component 00000000076057,00002-00002-00007-76057,00003-00003-00012-122433,1966253925-076057,342447079-076057,866123880-0076057,521033186-076057,50132828-00076057,1332936609-076057,1686983525-0000076057
Component 00000000109271,00001-00001-00006-109271,00001-00004-00009-94441,203108989-109271,1361942040-109271,373291444-0109271,1645678964-109271,146481003-00109271,2140004262-109271,735914173-0000109271
Component 00000000058790,00004-00004-58790,00005-39975,2051327530-058790,188448005-058790,473052127-0058790,822241918-058790,1546704955-00058790,679939857-058790,1741980441-0000058790
Component 00000000076325,00004-00002-76325,00004-00001-00011-36814,1208306972-076325,887292852-076325,566278732-0076325,671507681-076325,129094634-00076325,832014741-076325,864724656-0000076325
Component 00000000012071,00001-00003-00007-12071,00004-00004-00007-19429,12033727-012071,1296960809-012071,434404244-0012071,53971441-012071,71786972-00012071,1558991547-012071,2098612477-0000012071
Component 00000000111926,00001-00003-00009-111926,00001-00001-00003-45256,2122552689-111926,917391338-111926,1859713634-0111926,580543811-111926,163899625-00111926,109382663-111926,1092544605-0000111926
Component 00000000037457,00002-00004-37457,00002-00003-00007-60392,662802516-037457,1136433599-037457,1610064682-0037457,1085331748-037457,864659980-00037457,1922258030-037457,1967013293-0000037457
Component 00000000044114,00004-00005-44114,00004-00002-00008-123209,1583488323-044114,1092083830-044114,600679337-0044114,298948706-044114,608487524-00044114,1618392776-044114,779537473-0000044114
Component 00000000000377,00002-00006-377,00002-00002-00011-10502,107017069-000377,1494066679-000377,733632642-0000377,806930097-000377,314132988-00000377,113405292-000377,2141523999-0000000377
Component 00000000051087,00002-00001-00010-51087,00004-00005-00001-71384,690150484-051087,2018747895-051087,1199861659-0051087,1776357331-051087,1575821217-00051087,38316802-051087,631035307-0000051087
Component 00000000057082,00002-00004-00012-57082,00001-00004-00012-115686,989653928-057082,1290043707-057082,1590433486-0057082,1599914504-057082,97965609-00057082,375977791-057082,383102545-0000057082
Component 00000000119948,00003-00003-00010-119948,00003-00005-00007-22783,1381672971-119948,817274119-119948,252875267-0119948,1925616060-119948,452643026-00119948,60331839-119948,1128600009-0000119948
Component 00000000065429,00004-65429,00002-00003-102300,2143445033-065429,332678953-065429,669396520-0065429,220636033-065429,684531845-00065429,1126019073-065429,753063731-0000065429
Component 00000000076785,00002-00007-76785,00003-00006-00005-49678,1765863227-076785,119233511-076785,620087442-0076785,1361216940-076785,1004430932-00076785,37048151-076785,1837256136-0000076785
Component 00000000092990,00002-00001-92990,00003-00001-00009-9213,142193660-092990,421313494-092990,700433328-0092990,794603727-092990,1546488204-00092990,655043810-092990,2000977642-0000092990
Component 00000000097324,00004-00003-00006-97324,00004-00006-00001-7034,1610582226-097324,1408677429-097324,1206772632-0097324,1481875983-097324,343916321-00097324,509086558-097324,1450799379-0000097324
Component 00000000100452,00002-00002-00001-100452,00001-00012-94626,589427588-100452,1489972305-100452,243033375-0100452,242431599-100452,34675308-00100452,865901064-100452,2109781543-0000100452
Component 00000000069411,00001-00006-00004-69411,00006-90265,148389683-069411,1273518469-069411,251163608-0069411,1030044629-069411,1846851640-00069411,467480236-069411,1685603943-0000069411
Component 00000000083521,00001-00004-00009-83521,00004-00002-00005-114704,1330864644-083521,570519226-083521,1957657455-0083521,961333870-083521,468093666-00083521,1341506579-083521,692887839-0000083521
